零件号,供应商SAP号,采购工厂,包装费(服务商),操作费(服务商),运输费(服务商)
19D959855,10019,1340,,,
19D959857,10019,1340,,,
2GG810971,10012,1340,,,
2GG810972,10012,1340,,,
2GG845011,10007,1340,10007.0,10007.0,10007.0
2GG845011C,10007,1340,10007.0,10007.0,10007.0
2GG845051E,10007,1340,10007.0,10007.0,10007.0
2GG845051F,10007,1340,10007.0,10007.0,10007.0
2GG863367,10012,1340,,,
2GG867769,10012,1340,,,
575863462,10012,1340,,,
57D837461,10019,1340,,,
57D837462,10019,1340,,,
57D839461,10019,1340,,,
57D839462,10019,1340,,,
57D845021,10007,1340,10007.0,10007.0,10007.0
57D845022,10007,1340,10007.0,10007.0,10007.0
57D845025,10007,1340,10007.0,10007.0,10007.0
57D845026,10007,1340,10007.0,10007.0,10007.0
57D951206B,10019,1340,,,
