,零件号,无色标零件号,供应商号,工厂,SUPPLIER_ID
0,2GG845011,2GG845011,10007,1340,50003159
1,2GG845011C,2GG845011C,10007,1340,50003159
2,2GG845051E,2GG845051E,10007,1340,50003159
3,2GG845051F,2GG845051F,10007,1340,50003159
4,57D845021,57D845021,10007,1340,50003159
5,57D845022,57D845022,10007,1340,50003159
6,57D845025,57D845025,10007,1340,50003159
7,57D845026,57D845026,10007,1340,50003159
8,2GG810971,2GG810971,10012,1340,50003148
9,2GG810972,2GG810972,10012,1340,50003148
10,2GG863367  07N,2GG863367,10012,1340,50003148
11,2GG867769  7T8,2GG867769,10012,1340,50003148
12,575863462  CA9,575863462,10012,1340,50003148
13,19D959855  WHS,19D959855,10019,1340,50003140
14,19D959857  WHS,19D959857,10019,1340,50003140
15,57D837461,57D837461,10019,1340,50003140
16,57D837462,57D837462,10019,1340,50003140
17,57D839461,57D839461,10019,1340,50003140
18,57D839462,57D839462,10019,1340,50003140
19,57D951206B,57D951206B,10019,1340,50003140
