零件号,供应商SAP号,采购工厂,单位,价格类型,价格
2GG845051F,10007,1340,只,包装费,1.02
2GG845051F,10007,1340,只,操作费,0.72
57D845021,10007,1340,只,运输费,1.58
2GG845051E,10007,1340,只,包装费,1.02
2GG845051F,10007,1340,只,运输费,1.95
2GG845011,10007,1340,只,包装费,0.89
2GG845011C,10007,1340,只,操作费,1.87
2GG845011C,10007,1340,只,运输费,5.39
2GG845011,10007,1340,只,操作费,1.87
2GG845011,10007,1340,只,运输费,5.39
2GG810971,10012,1340,,操作费,
2GG810971,10012,1340,,包装费,
2GG810971,10012,1340,,运输费,
57D845026,10007,1340,只,操作费,0.47
57D845026,10007,1340,只,包装费,0.54
57D845026,10007,1340,只,运输费,1.58
57D845025,10007,1340,只,包装费,0.54
57D845025,10007,1340,只,运输费,1.58
57D845022,10007,1340,只,包装费,0.54
57D845022,10007,1340,只,操作费,0.47
57D845022,10007,1340,只,运输费,1.58
57D845021,10007,1340,只,包装费,0.54
57D845021,10007,1340,只,操作费,0.47
19D959855,10019,1340,,操作费,
57D845025,10007,1340,只,操作费,0.47
19D959855,10019,1340,,运输费,
575863462,10012,1340,,包装费,
2GG845051E,10007,1340,只,运输费,1.95
2GG845011C,10007,1340,只,包装费,0.89
2GG845051E,10007,1340,只,操作费,0.72
575863462,10012,1340,,操作费,
575863462,10012,1340,,运输费,
2GG867769,10012,1340,,操作费,
2GG863367,10012,1340,,操作费,
2GG867769,10012,1340,,包装费,
2GG863367,10012,1340,,运输费,
2GG867769,10012,1340,,运输费,
2GG863367,10012,1340,,包装费,
2GG810972,10012,1340,,包装费,
2GG810972,10012,1340,,操作费,
57D839461,10019,1340,,操作费,
57D837462,10019,1340,,包装费,
2GG810972,10012,1340,,运输费,
57D839461,10019,1340,,运输费,
57D837462,10019,1340,,运输费,
57D837461,10019,1340,,包装费,
57D837462,10019,1340,,操作费,
57D837461,10019,1340,,操作费,
57D837461,10019,1340,,运输费,
19D959857,10019,1340,,运输费,
19D959855,10019,1340,,包装费,
57D951206B,10019,1340,,操作费,
19D959857,10019,1340,,操作费,
19D959857,10019,1340,,包装费,
57D951206B,10019,1340,,运输费,
57D951206B,10019,1340,,包装费,
57D839462,10019,1340,,包装费,
57D839462,10019,1340,,操作费,
57D839461,10019,1340,,包装费,
57D839462,10019,1340,,运输费,
